,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
157,0.765280818939209,0.06399808344992272,0.10652408599853516,0.0016759314177191035,0.01,"(25, 25)",7,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 7}",0.660355029585799,0.6561360874848118,0.675174013921114,0.7111622554660532,0.7207064507187267,0.6846964788719162,0.02643929280510651,119,0.6910046933338603,0.633359197254035,0.7005925409550302,0.7029811929706753,0.6874635568513128,0.6830802362729826,0.025522230047102554
158,0.8829761505126953,0.2729841526191193,0.10676159858703613,0.0020905318504601442,0.01,"(25, 25)",8,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 8}",0.625,0.6976744186046514,0.6643109540636045,0.7005780346820811,0.7320153111558346,0.6839019970400585,0.036426648563752904,122,0.6498132401063742,0.7145325591948963,0.7000368440444171,0.6871075544365955,0.731376975169301,0.6965734345903168,0.027647533248748666
159,0.8643845081329345,0.043765403670430414,0.10618224143981933,0.0015337256095532901,0.01,"(25, 25)",9,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 9}",0.6936416184971099,0.7331838565022424,0.6507747318235997,0.7175398633257405,0.7105670465738007,0.7011387295396317,0.02820825831537227,46,0.7144494819131798,0.7233872461563896,0.7024057396583235,0.7191599899697323,0.6996527777777786,0.7118110470950808,0.009287195541639785
160,0.8324852466583252,0.16490797208688635,0.11059484481811524,0.008356282114369852,0.01,"(25, 25)",10,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 10}",0.6837209302325584,0.7364864864864866,0.6476868327402137,0.7115165336374004,0.7162583695932926,0.6991289364142249,0.030747633099487737,51,0.7049101831877871,0.7161274652914862,0.6994241583057497,0.7303006849298386,0.706285714285715,0.7114096412001152,0.010874546234622402
161,0.7342501640319824,0.0970571832262593,0.1070138931274414,0.0023062067855520118,0.01,"(25, 25)",15,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 15}",0.6436233611442195,0.660355029585799,0.6330935251798563,0.6666666666666669,0.7064489698035534,0.6620248178611783,0.02518555300722543,221,0.6950926459197998,0.6457282493903682,0.6615127224355729,0.6647361050983778,0.697552447552448,0.6729244340793132,0.020173631401474115
162,0.8374531269073486,0.1328035032069448,0.10767698287963867,0.0015763997164396956,0.01,"(25, 25)",20,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 20}",0.6029411764705883,0.7341490545050058,0.6827586206896555,0.7030716723549489,0.7476018486154805,0.6940891851947298,0.050960854948654474,78,0.6916823886065238,0.7084332436971463,0.7426930906018293,0.7548430193720708,0.6999711233034948,0.719524573116213,0.02475768597644597
163,0.81211256980896,0.14924632917886127,0.11136674880981445,0.011981981248837262,0.01,"(25, 25)",25,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 25}",0.642857142857143,0.7197309417040361,0.7154105736782905,0.6946651532349605,0.5954616761307144,0.6736474363096515,0.047676331898166203,177,0.6982837467712668,0.7049180931842709,0.7621039870209299,0.7250032745213071,0.5797838525111254,0.6940185908017801,0.06128986530166643
164,0.9154262065887451,0.19203977422612933,0.10648951530456544,0.0008654431743511611,0.01,"(25, 25)",30,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 30}",0.6138855054811206,0.7533039647577094,0.6022304832713756,0.7046750285062716,0.716109043434206,0.6780299253421105,0.059479755190649054,147,0.7158431929752905,0.7354266728270524,0.6434809253868488,0.7170499489646265,0.7455820476858352,0.7114765575679307,0.035805945509801186
165,0.9180311679840087,0.08433747349190555,0.10966053009033203,0.0039779273721891354,0.01,"(25, 25)",35,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 35}",0.6251497005988026,0.7232142857142859,0.6650943396226416,0.6975169300225735,0.7303437143194617,0.6882517677851148,0.038981354391285056,103,0.7003032330376242,0.7296819338268116,0.7358760731526002,0.7118292774677938,0.738435660218672,0.7232252355407004,0.014753817967395786
166,1.1552980422973633,0.2876515363036096,0.10761137008666992,0.0019412411096122698,0.01,"(25, 25)",40,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 40}",0.6559263521288841,0.724832214765101,0.5552699228791774,0.6904487917146147,0.7416551643694475,0.6736070468521543,0.06611220664812177,178,0.7763128803383267,0.7931677765953523,0.6074097501834747,0.7623150981664899,0.7968623208006496,0.7472135652168587,0.07098833933864664
167,0.8334790229797363,0.06539477046795539,0.11154708862304688,0.0037058450540624227,0.01,"(25, 25)",45,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 45}",0.6923076923076924,0.7118644067796612,0.6051660516605168,0.707865168539326,0.6959944807434765,0.6826357432239862,0.03941156752954026,128,0.7641306149510956,0.7046203205936674,0.6663155289593361,0.7272173788041437,0.6942582337510937,0.7113084154118673,0.032872721270597045
168,0.834909200668335,0.08803399847905262,0.11361618041992187,0.006483001834094225,0.01,"(25, 25)",50,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 50}",0.5842696629213484,0.7322033898305086,0.7170236753100342,0.6835443037974687,0.6505712077859696,0.6735290073003557,0.05278691940976522,179,0.6348104834416923,0.6811812673894152,0.7407621678562669,0.7597693498214014,0.6413604615851811,0.6915767460187914,0.05083618140642231
169,1.2401231288909913,0.46574256156125365,0.10966958999633789,0.0038335984153349723,0.01,"(25, 25)",55,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 55}",0.6349583828775269,0.7058823529411767,0.611793611793612,0.620689655172414,0.7493201149536138,0.6645045905406936,0.053797443205215546,211,0.7912795088157002,0.6749551018553633,0.6467793030622963,0.6986053830657301,0.7998913928862345,0.7223021379370648,0.06210466452944045
