steps,time,reward,delta,converged
99,0.02750800000012532,0.0,0,False
100,0.027703000000656175,0.0,0,False
101,0.027070999999523337,0.0,0,False
102,0.02738500000032218,0.0,0,False
103,0.027783999999883235,0.0,0,False
104,0.027758000000176253,0.0,0,False
105,0.02746099999967555,0.0,0,False
106,0.027578999999605003,0.0,0,False
107,0.02782400000069174,0.0,0,False
108,0.027531000000635686,0.0,0,False
109,0.027648999999655643,0.0,0,False
110,0.027042000000619737,0.0,0,False
111,0.028420999999980268,0.0,0,False
112,0.027704000000085216,0.0,0,False
113,0.02754599999934726,0.0,0,False
114,0.027779000000009546,0.0,0,False
115,0.027506000000357744,0.0,0,False
116,0.028247999999621243,0.0,0,False
117,0.02779700000064622,0.0,0,False
118,0.02819199999976263,0.0,0,False
119,0.02781799999957002,0.0,0,False
120,0.028322999999545573,0.0,0,False
121,0.027630999999928463,0.0,0,False
122,0.027700999999979103,0.0,0,False
123,0.027203999999983353,0.0,0,False
124,0.027841000000080385,0.0,0,False
125,0.02777799999967101,0.0,0,False
126,0.027825999999549822,0.0,0,False
127,0.027978000000075554,0.0,0,False
128,0.028131999999459367,0.0,0,False
129,0.027374000000236265,0.0,0,False
130,0.027417000000241387,0.0,0,False
131,0.027963000000454485,0.0,0,False
132,0.02726600000005419,0.0,0,False
133,0.027556000000004133,0.0,0,False
134,0.027968999999757216,0.0,0,False
135,0.027600999999776832,0.0,0,False
136,0.027387999999518797,0.0,0,False
137,0.027556999999433174,0.0,0,False
138,0.02751299999999901,0.0,0,False
139,0.027591000000029453,0.0,0,False
140,0.027423000000453612,0.0,0,False
141,0.027536000000509375,0.0,0,False
142,0.027796000000307686,0.0,0,False
143,0.027247999999417516,0.0,0,False
144,0.03791799999999057,0.0,0,False
145,0.02774700000009034,0.0,0,False
146,0.02747700000054465,0.0,0,False
147,0.027861999999913678,0.0,0,False
148,0.02726299999994808,0.0,0,False
149,0.029049000000668457,0.0,0,False
150,0.027519999999640277,0.0,0,False
151,0.027788000000327884,0.0,0,False
152,0.027708999999958905,0.0,0,False
153,0.027677000000039698,0.0,0,False
154,0.027769000000262167,0.0,0,False
155,0.028345000000626897,0.0,0,False
156,0.02746800000022631,0.0,0,False
157,0.027621000000181084,0.0,0,False
158,0.02756599999975151,0.0,0,False
159,0.027272999999695458,0.0,0,False
160,0.027347999999619788,0.0,0,False
161,0.027234999999564025,0.0,0,False
162,0.028053999999428925,0.0,0,False
163,0.027681000000484346,0.0,0,False
164,0.027395000000069558,0.0,0,False
165,0.027801000000181375,0.0,0,False
166,0.02729399999952875,0.0,0,False
167,0.02777700000024197,0.0,0,False
168,0.027526000000761996,0.0,0,False
169,0.027294999999867287,0.0,0,False
170,0.027643999999781954,0.0,0,False
171,0.027167000000190455,0.0,0,False
172,0.027559000000110245,0.0,0,False
173,0.027901000000383647,0.0,0,False
174,0.027463000000352622,0.0,0,False
175,0.027748000000428874,0.0,0,False
176,0.027559000000110245,0.0,0,False
177,0.02743000000009488,0.0,0,False
178,0.027054000000134693,0.0,0,False
