,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
228,0.10645761489868164,0.0009473845083556095,0.0018550872802734375,0.0001606871464740492,0.001,"(25,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 2}",0.49999999999999994,0.5,0.5,0.5000000000000001,0.4999999999999998,0.49999999999999994,1.1100246961388522e-16,1,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5,0.5000000000000001,4.965068306494546e-17
229,0.14777464866638185,0.00393140180609954,0.0027400970458984373,0.0008466980640759787,0.001,"(25,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 3}",0.49999999999999994,0.5,0.5,0.49927113702623915,0.49927007299270054,0.4997083672307131,0.00035730352801971015,245,0.5000000000000001,0.5000000000000001,0.49981771782719664,0.4981771782719651,0.49817784256559766,0.49923454773295195,0.0008656301395885592
230,0.17045240402221679,0.01050508881989828,0.003257608413696289,0.0017006809175348534,0.001,"(25,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 4}",0.49999999999999994,0.5,0.5,0.4992711370262392,0.49927007299270054,0.4997083672307131,0.00035730352801969655,245,0.5000000000000001,0.49945315348158964,0.49945315348158964,0.49908858913598264,0.4996355685131195,0.4995260929224563,0.0002961832913396189
231,0.16652169227600097,0.013497649278798521,0.004035139083862304,0.0014651038965176851,0.001,"(25,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 5}",0.49635568513119527,0.4970845481049563,0.4963556851311954,0.5000000000000001,0.4999999999999998,0.4979586004164454,0.0016873281088442584,369,0.49708348523514423,0.49708348523514423,0.49872402479037564,0.5000000000000001,0.5,0.49857819905213285,0.001306341441280924
232,0.12441854476928711,0.008393970471371805,0.0024799823760986326,0.0005999598664466053,0.001,"(25,)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 6}",0.49999999999999994,0.5,0.5,0.5000000000000001,0.4999999999999998,0.49999999999999994,1.1100246961388522e-16,1,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5,0.5000000000000001,4.965068306494546e-17
233,0.1667935371398926,0.02618399689190298,0.0034726619720458984,0.0013683926507305733,0.001,"(25,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 7}",0.49999999999999994,0.5,0.5,0.5000000000000001,0.4941605839416056,0.4988334518934502,0.002334764498055745,338,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.4970845481049563,0.49941690962099133,0.0011661807580175322
234,0.16080598831176757,0.017892568586311944,0.004826402664184571,0.0018094045715130944,0.001,"(25,)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 8}",0.4985422740524781,0.4992711370262391,0.5,0.4978134110787173,0.497810218978102,0.4986876589242347,0.0008506428811688991,347,0.49963543565439317,0.49945315348158964,0.4994531534815897,0.4972657674079476,0.496902332361516,0.4985419684774072,0.0011977714684416514
235,0.2921452522277832,0.02934809841463005,0.003239154815673828,0.0017417941824958577,0.001,"(25,)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 9}",0.499271137026239,0.4956268221574344,0.49781341107871724,0.5000000000000001,0.49927007299270054,0.4983960389269994,0.0015564581297076352,365,0.4969012030623407,0.4974480495807512,0.4969012030623407,0.5000000000000001,0.4998177842565598,0.49821364799239853,0.0013996764601753849
236,0.18111562728881836,0.010776290698064179,0.0048331737518310545,0.0032657170770197096,0.001,"(25,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 10}",0.4985422740524781,0.5,0.4992711370262391,0.4992711370262392,0.4999999999999998,0.4994167429761273,0.0005454199459437899,289,0.4992708713087861,0.49981771782719664,0.49945315348158964,0.4994531534815897,0.4996355685131195,0.4995260929224564,0.00018590771160345194
237,0.21233835220336914,0.014487875241871416,0.002821826934814453,0.0009616880438579289,0.001,"(25,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 15}",0.499271137026239,0.4992711370262391,0.5,0.5000000000000001,0.49927007299270054,0.4995625529747449,0.00035725928339863026,277,0.49981771782719664,0.49981771782719664,0.4996354356543931,0.4996354356543933,0.4994533527696793,0.4996719319465718,0.00013634358161329242
